file_names,link,noput,absris,tahun
000120.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/77166,PUT-000120.16/2021/PP/M.XIIIB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000121.16.2018w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/46702,PUT-000121.16/2018/PP/M.VlllB Tahun 2020,PPN,2020.0
000121.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/60766,PUT-000121.16/2020/PP/M.XIB Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000121.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/77167,PUT-000121.16/2021/PP/M.XIIIB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000122.16.2018w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/42179,PUT-000122.16/2018/PP/M.VIllB Tahun 2020,PPN,2020.0
000122.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/60721,PUT-000122.16/2020/PP/M.XIB Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000122.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/77168,PUT-000122.16/2021/PP/M.XIIIB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000123.16.2018w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/42180,PUT-000123.16/2018/PP/M.VIllB Tahun 2020,PPN,2020.0
000123.16.2020w.txt,http://setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/81122,PUT-000123.16/2020/PP/M.XVIIIA Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000123.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/77169,PUT-000123.16/2021/PP/M.XIIIB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000124.16.2018w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/46703,PUT-000124.16/2018/PP/M.VlllB Tahun 2020,PPN,2020.0
000124.16.2020w.txt,http://setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/81123,PUT-000124.16/2020/PP/M.XVIIIA Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
